S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1.11,3668.0,4.923936,0
1.61,535.59998,1.3690125,0
1.22,2.0455,0.0348228,0
0.86,6019.32,6.6607495,0
1.08,1802.29,2.9736204,0
0.77,3.4442,0.04,0
1.43,4.12688,0.05703518,0
0.78,42.378,0.21910319,0
1.23,428.1,1.2732878,0
0.94,2198.14,3.2742271,0
0.8,18.02,0.12513806,0
0.8,36.07,0.19802227,0
0.8,5174.0,5.8601984,0
1.02,379.0,1.021275,0
1.06,1116.0,2.8553075,0
0.82,6.0881,0.060243,0
0.45,8.7836,0.066,0
1.53,380.2,1.1930986,0
0.85,1362.3,2.5201763,0
0.84,2443.0,3.440976,0
1.97,311.60001,1.2403935,0
1.05,2527.83,3.7526039,0
1.05,11613.0,10.129338,0
1.12,1157.0,3.015792,0
0.92,1684.0,2.733578,0
1.17,847.0,1.8534419,0
1.7,466.0,1.3167,0
0.96,16.5535,0.126027,0
0.96,51.2053,0.26651304,0
0.96,271.6737,0.83312224,0
0.94,0.959624,0.0186,0
0.94,29.83832,0.1841,0
0.94,8.509,0.082596536,0
1.13,157.54,0.5900295,0
0.94,2372.0,3.4183545,0
0.47,3.38773,0.04,0
1.41,326.0,1.0723305,0
1.41,834.0,1.9464169,0
1.38,18.1991,0.16280376,0
1.25,388.0,1.16358,0
1.84,551.40002,1.618,0
1.84,916.0,2.258928,0
1.14,1049.0,2.1454515,0
1.14,214.67,0.71856533,0
1.14,117.87,0.48187558,0
1.14,49.175,0.26978824,0
1.14,676.8,1.5437414,0
1.14,5700.0,6.3632563,0
1.15,82.467,0.41843193,0
0.8,62.25,0.35636369,0
0.85,154.378,0.53441805,0
0.85,885.5,1.7233594,0
0.85,1862.0,2.8429296,0
0.94,55.01292,0.34001061,0
0.94,2720.0,3.741683,0
1.37,363.20001,1.105731,0
1.41,14.30944,0.13447248,0
1.41,2136.1,3.8512592,0
1.21,685.25,1.6232345,0
1.09,2093.07,3.7289419,0
0.87,3.2498,0.0414018,0
0.77,4.3123,0.047736,0
0.77,9.6184,0.08004382,0
0.77,20.432,0.13242365,0
0.77,51.76,0.2470494,0
0.77,197.8,0.62523,1
2.0,578.6,1.44032,0
1.45,264.14999,0.8765625,0
0.7,963.0,2.1580477,0
0.4,1.3283,0.017477636,0
0.99,526.62,1.8018618,0
0.83,857.5,1.7034,0
1.25,431.88,1.328184,0
1.25,6700.0,7.15016,0
0.88,832.97,1.6634659,0
1.01,149.61,0.5639997,0
0.93,15.56,0.12,0
1.63,356.21,1.1695008,0
0.96,327.8,1.236894,0
1.32,36.9987,0.238754,0
1.0,472.3,1.4113995,0
1.03,5.8854,0.06455778,0
1.03,13.1354,0.1102695,0
1.02,963.6,2.5010726,0
0.82,226.93,0.69096034,0
0.82,342.85,0.90145576,0
0.92,44.073,0.28066121,0
0.92,3.023573,0.039878983,0
0.96,4.0845,0.05004,0
0.96,1353.6,2.4692462,0
1.74,360.2,1.2000555,0
1.74,2732.0,4.72167,0
1.81,363.3,1.218808,0
1.81,684.7,1.9246036,0
0.91,712.13,1.9686,0
1.31,778.51,1.8543805,0
1.32,400.5,1.1695417,0
1.03,4.94737,0.060243,0
1.25,2447.1,3.9686039,0
1.25,8619.9,9.02,0
1.04,1293.0,2.6483027,0
0.8,14.0726,0.1063289,0
0.8,95.9446,0.38463282,0
1.2,119.27,0.538954,0
1.27,637.1,1.5766442,0
1.27,872.2,1.9623169,0
1.29,1827.0,3.9702697,0
1.01,139.35,0.53153064,0
1.53,779.9,1.9139964,0
0.96,492.3,1.2055296,0
1.93,177.11,0.641568,0
1.9,299.36,1.0873575,0
1.5,201.9,0.796026,0
1.5,600.1,1.60072,0
2.1,589.64,1.640328,0
0.42,2.81805,0.04,0
0.65,358.0,0.967072,0
0.95,45.791,0.2477712,0
1.1,21.998,0.142023,0
0.87,577.6,1.3484215,0
0.87,5370.0,5.8330875,0
1.1,480.5,1.20294,0
1.08,2263.12,3.8883254,0
1.36,352.2,1.095606,0
1.36,2374.0,4.974768,0
1.08,2496.0,3.56775,0
1.12,1103.0,2.180981,0
1.28,6.27711,0.070504,0
0.86,8.667,0.0788925,0
0.86,31.56,0.1875717,0
0.86,197.0,0.6315435,0
1.0,851.8,1.9008,0
1.08,2124.54,3.3688069,0
0.77,615.0,1.384548,0
1.21,858.0,1.8944534,0
1.43,3658.0,4.86495,0
1.02,39.475,0.24839791,0
0.9,1245.36,2.2448461,0
1.14,188.3,0.6617325,0
1.14,379.1,1.070376,0
1.16,1750.0,3.0137346,0
1.24,51.645,0.34939683,0
1.24,2473.0,4.2092512,0
1.05,1255.5,3.387216,0
1.29,3.50927,0.0500225,0
1.26,341.2,1.036855,0
1.26,7900.0,9.4043082,0
1.26,422.9,1.1982056,0
0.99,3.97097,0.0502025,0
1.17,415.4,1.5699568,0
1.37,5.7361,0.060243,0
0.65,5.39792,0.060108,0
0.65,15.299,0.11394455,0
0.65,24.451,0.15851995,0
1.08,1807.0,3.4726313,0
1.15,111.4367,0.67999726,0
1.05,1001.7,2.212473,0
2.1,184.02,0.81,0
2.53,705.0,1.583871,0
1.2,441.47,1.1985841,0
1.2,220.078,0.79332646,0
0.8,158.991,0.54366,0
0.79,2.9857,0.040002,0
1.13,1313.0,2.4775625,0
0.76,799.52,1.544625,0
0.43,58.43,0.261573,0
1.34,227.0,0.7942,0
1.21,2.1378431,0.03460245,0
1.06,1695.0,2.87195,0
1.42,1475.0,3.5607,0
1.35,1634.0,3.8093208,0
1.66,1270.0,2.759304,0
1.12,13.481,0.11714625,0
0.66,2754.0,4.082811,0
1.26,3.414884,0.047923016,0
1.27,2166.0,3.3354,0
1.16,11.8143,0.10917972,0
1.86,256.78,1.1271438,0
0.84,49.77,0.2620125,0
1.03,1179.0,2.21584,0
1.15,325.803,1.0294125,0
1.15,11611.298,11.6109,0
1.08,10354.837,9.832121,0
0.7,143.58,0.4816746,0
1.0,30.052,0.19278,0
1.0,192.9,0.6551772,0
1.11,1576.0,2.766852,0
1.54,464.4,1.3696295,0
1.54,1785.0,3.4642922,0
3.7,482.0,1.287744,0
0.7,4375.0,5.15927,0
1.37,362.5,1.1260395,0
1.27,498.04,1.6445039,0
0.89,9.4909,0.084519876,0
1.41,433.8,1.2639318,0
1.03,6022.9725,8.999586,0
0.92,968.8,1.9116028,0
0.76,439.29999,1.1144955,0
0.48,17.0431,0.12375,0
1.46,841.0,2.041875,0
